num_embeddings,num_dims,lib,k,avg_time,stddev_time
1000,1536,hnswlib,10,0.0009848117828369141,5.185840316303029e-05
1000,1536,numpy,10,6.203651428222656e-05,8.852789732481768e-05
10000,1536,hnswlib,10,0.0019028282165527344,0.0001291716125574128
10000,1536,numpy,10,0.0008185958862304688,0.00033393364829215213
100000,1536,hnswlib,10,0.002549324035644531,0.0001765393597107882
100000,1536,numpy,10,0.008082599639892578,0.0013828300070251077
